year,round,place,heat,athlete,country,time,notes
2011,1,1,4,Amantle Montsho, Botswana (BOT),50.95,Q
2011,1,2,1,Novlene Williams-Mills, Jamaica (JAM),51.30,Q
2011,1,3,2,Antonina Yefremova, Ukraine (UKR),51.35,Q
2011,1,4,5,Sanya Richards-Ross, United States (USA),51.37,Q
2011,1,5,3,Rosemarie Whyte, Jamaica (JAM),51.38,Q
2011,1,6,2,Anastasiya Kapachinskaya, Russia (RUS),51.43,Q
2011,1,7,1,Allyson Felix, United States (USA),51.45,Q
2011,1,8,3,Antonina Krivoshapka, Russia (RUS),51.52,Q
2011,1,9,5,Shericka Williams, Jamaica (JAM),51.66,Q
2011,1,10,3,Nataliya Pyhyda, Ukraine (UKR),51.67,Q
2011,1,11,1,Joanne Cuddihy, Ireland (IRL),51.82,"Q, SB"
2011,1,12,1,Marta Milani, Italy (ITA),51.94,"Q, SB"
2011,1,13,1,Geisa Coutinho, Brazil (BRA),52.15,q
2011,1,14,4,Francena McCorory, United States (USA),52.18,Q
2011,1,15,2,Ndeye Fatou Soumah, Senegal (SEN),52.23,Q
2011,1,15,3,Fantu Magiso, Ethiopia (ETH),52.23,Q
2011,1,17,5,Moa Hjelmer, Sweden (SWE),52.26,Q
2011,1,18,2,Jessica Beard, United States (USA),52.40,Q
2011,1,19,5,Denisa Rosolová, Czech Republic (CZE),52.51,Q
2011,1,20,5,Nicola Sanders, Great Britain & N.I. (GBR),52.65,q
2011,1,21,4,Lee McConnell, Great Britain & N.I. (GBR),52.75,Q
2011,1,22,4,Maris Mägi, Estonia (EST),52.93,Q
2011,1,23,4,Norma González, Colombia (COL),53.35,q
2011,1,24,3,Racheal Nachula, Zambia (ZAM),53.49,"q, SB"
2011,1,25,1,Pınar Saka, Turkey (TUR),53.59,
2011,1,25,2,Aliann Pompey, Guyana (GUY),53.59,
2011,1,27,4,Aymée Martínez, Cuba (CUB),53.67,
2011,1,28,3,Daisurami Bonne, Cuba (CUB),53.69,
2011,1,29,2,Tjipekapora Herunga, Namibia (NAM),54.08,
2011,1,30,5,Kseniya Karandyuk, Ukraine (UKR),54.10,
2011,1,31,4,Ambwene Simukonda, Malawi (MAW),54.81,
2011,1,32,2,Alaa Hikmat Al-Qaysi, Iraq (IRQ),55.62,
2011,1,33,5,Betty Burua, Papua New Guinea (PNG),56.98,
2011,1,34,1,Graciela Martins, Guinea-Bissau (GBS),58.22,PB
2011,1,35,1,Sandrine Thiébaud-Kangni, Togo (TOG),59.68,
2011,1,36,3,Evodie Lydie Saramandji, Central African Republic (CAF),1:05.10,SB
2011,1,,3,Christine Ohuruogu, Great Britain & N.I. (GBR),DSQ,
2011,2,1,3,Amantle Montsho, Botswana (BOT),50.13,Q
2011,2,2,2,Francena McCorory, United States (USA),50.24,"Q, PB"
2011,2,3,1,Allyson Felix, United States (USA),50.36,Q
2011,2,4,3,Anastasiya Kapachinskaya, Russia (RUS),50.41,Q
2011,2,5,2,Shericka Williams, Jamaica (JAM),50.46,"Q, SB"
2011,2,6,1,Novlene Williams-Mills, Jamaica (JAM),50.48,Q
2011,2,7,1,Antonina Krivoshapka, Russia (RUS),50.55,q
2011,2,8,2,Sanya Richards-Ross, United States (USA),50.66,q
2011,2,9,2,Antonina Yefremova, Ukraine (UKR),50.88,
2011,2,10,3,Rosemarie Whyte, Jamaica (JAM),50.90,
2011,2,11,3,Jessica Beard, United States (USA),51.27,
2011,2,12,1,Nataliya Pyhyda, Ukraine (UKR),51.61,
2011,2,13,2,Marta Milani, Italy (ITA),51.86,PB
2011,2,14,2,Geisa Coutinho, Brazil (BRA),51.87,
2011,2,15,2,Lee McConnell, Great Britain & N.I. (GBR),51.97,
2011,2,16,3,Ndeye Fatou Soumah, Senegal (SEN),52.10,
2011,2,17,2,Norma González, Colombia (COL),52.29,
2011,2,18,1,Moa Hjelmer, Sweden (SWE),52.35,
2011,2,19,1,Nicola Sanders, Great Britain & N.I. (GBR),52.47,
2011,2,20,3,Denisa Rosolová, Czech Republic (CZE),52.53,
2011,2,21,1,Maris Mägi, Estonia (EST),53.27,
2011,2,22,3,Racheal Nachula, Zambia (ZAM),53.30,SB
2011,2,23,1,Fantu Magiso, Ethiopia (ETH),53.41,
2011,2,,3,Joanne Cuddihy, Ireland (IRL),DSQ,
2011,3,1,1,Amantle Montsho, Botswana (BOT),49.56,NR
